commandline arguments: Namespace(input='.\\maps\\BASIC_OFFICE_LAYOUT', numpeople=200, random_state=8675309, max_time=None, no_spread_fire=False, no_graphical_output=False, output=False, fire_rate=2, bottleneck_delay=0.2, animation_delay=1, scale=8, speed=3.0, sample_k=8, sample_seed=123, seconds_per_unit=1.0, start_delay_dist='none', start_delay=0.0, start_delay_std=0.0) 

===============================================================================
initialized a 64x50 floor with 200 people in 2400 locations
initialized 12 bottleneck(s)
detected 0 fire zone(s)

good luck escaping!
===============================================================================
LOGS
INFO	 fire disabled (treated as walls)
ROOM-EXIT	 t=   6.598 s	 person  159 left room 5 (OFFICE_RIGHT2) occ=10 area=100.00 m^2
ROOM-EXIT	 t=   6.626 s	 person   83 left room 3 (OFFICE_LEFT3) occ=7 area=100.00 m^2
ROOM-EXIT	 t=   6.638 s	 person   20 left room 1 (OFFICE_LEFT1) occ=15 area=100.00 m^2
ROOM-EXIT	 t=   6.694 s	 person   65 left room 5 (OFFICE_RIGHT2) occ=9 area=100.00 m^2
ROOM-EXIT	 t=   6.761 s	 person  166 left room 1 (OFFICE_LEFT1) occ=14 area=100.00 m^2
ROOM-EXIT	 t=   6.775 s	 person  124 left room 3 (OFFICE_LEFT3) occ=6 area=100.00 m^2
ROOM-EXIT	 t=   6.790 s	 person  194 left room 7 (HALLWAY) occ=129 area=93.00 m^2
ROOM-EXIT	 t=   6.800 s	 person  147 left room 1 (OFFICE_LEFT1) occ=13 area=100.00 m^2
ROOM-EXIT	 t=   6.800 s	 person   21 left room 2 (OFFICE_LEFT2) occ=5 area=100.00 m^2
ROOM-EXIT	 t=   6.955 s	 person  153 left room 7 (HALLWAY) occ=134 area=93.00 m^2
ROOM-EXIT	 t=   6.974 s	 person   56 left room 6 (OFFICE_RIGHT3) occ=11 area=100.00 m^2
ROOM-EXIT	 t=   7.083 s	 person   54 left room 2 (OFFICE_LEFT2) occ=4 area=100.00 m^2
ROOM-EXIT	 t=   7.116 s	 person  135 left room 6 (OFFICE_RIGHT3) occ=10 area=100.00 m^2
ROOM-EXIT	 t=   7.207 s	 person   77 left room 1 (OFFICE_LEFT1) occ=12 area=100.00 m^2
ROOM-EXIT	 t=   7.220 s	 person   97 left room 5 (OFFICE_RIGHT2) occ=8 area=100.00 m^2
ROOM-EXIT	 t=   7.247 s	 person  130 left room 7 (HALLWAY) occ=143 area=93.00 m^2
ROOM-EXIT	 t=   7.311 s	 person  119 left room 1 (OFFICE_LEFT1) occ=11 area=100.00 m^2
ROOM-EXIT	 t=   7.343 s	 person   51 left room 7 (HALLWAY) occ=142 area=93.00 m^2
ROOM-EXIT	 t=   7.385 s	 person  151 left room 7 (HALLWAY) occ=141 area=93.00 m^2
ROOM-EXIT	 t=   7.431 s	 person  144 left room 1 (OFFICE_LEFT1) occ=10 area=100.00 m^2
ROOM-EXIT	 t=   7.444 s	 person  180 left room 1 (OFFICE_LEFT1) occ=9 area=100.00 m^2
ROOM-EXIT	 t=   7.539 s	 person  187 left room 7 (HALLWAY) occ=144 area=93.00 m^2
ROOM-EXIT	 t=   7.583 s	 person  162 left room 1 (OFFICE_LEFT1) occ=8 area=100.00 m^2
ROOM-EXIT	 t=   7.585 s	 person   61 left room 6 (OFFICE_RIGHT3) occ=9 area=100.00 m^2
ROOM-EXIT	 t=   7.591 s	 person   52 left room 7 (HALLWAY) occ=143 area=93.00 m^2
ROOM-EXIT	 t=   7.592 s	 person  189 left room 6 (OFFICE_RIGHT3) occ=8 area=100.00 m^2
ROOM-EXIT	 t=   7.600 s	 person   16 left room 6 (OFFICE_RIGHT3) occ=7 area=100.00 m^2
ROOM-EXIT	 t=   7.751 s	 person  145 left room 6 (OFFICE_RIGHT3) occ=6 area=100.00 m^2
ROOM-EXIT	 t=   7.769 s	 person  163 left room 2 (OFFICE_LEFT2) occ=3 area=100.00 m^2
ROOM-EXIT	 t=   7.772 s	 person   58 left room 3 (OFFICE_LEFT3) occ=5 area=100.00 m^2
ROOM-EXIT	 t=   7.891 s	 person    5 left room 7 (HALLWAY) occ=149 area=93.00 m^2
ROOM-EXIT	 t=   7.910 s	 person   43 left room 2 (OFFICE_LEFT2) occ=2 area=100.00 m^2
ROOM-EXIT	 t=   7.991 s	 person   22 left room 7 (HALLWAY) occ=148 area=93.00 m^2
ROOM-EXIT	 t=   8.002 s	 person  118 left room 4 (OFFICE_RIGHT1) occ=7 area=100.00 m^2
ROOM-EXIT	 t=   8.009 s	 person   91 left room 7 (HALLWAY) occ=150 area=93.00 m^2
ROOM-EXIT	 t=   8.114 s	 person  170 left room 3 (OFFICE_LEFT3) occ=4 area=100.00 m^2
ROOM-EXIT	 t=   8.123 s	 person  109 left room 1 (OFFICE_LEFT1) occ=7 area=100.00 m^2
ROOM-EXIT	 t=   8.125 s	 person   37 left room 4 (OFFICE_RIGHT1) occ=6 area=100.00 m^2
ROOM-EXIT	 t=   8.181 s	 person  176 left room 5 (OFFICE_RIGHT2) occ=7 area=100.00 m^2
ROOM-EXIT	 t=   8.216 s	 person   76 left room 7 (HALLWAY) occ=154 area=93.00 m^2
ROOM-EXIT	 t=   8.232 s	 person  106 left room 5 (OFFICE_RIGHT2) occ=6 area=100.00 m^2
ROOM-EXIT	 t=   8.278 s	 person   78 left room 1 (OFFICE_LEFT1) occ=6 area=100.00 m^2
ROOM-EXIT	 t=   8.305 s	 person  168 left room 7 (HALLWAY) occ=153 area=93.00 m^2
ROOM-EXIT	 t=   8.319 s	 person  116 left room 4 (OFFICE_RIGHT1) occ=5 area=100.00 m^2
ROOM-EXIT	 t=   8.341 s	 person  179 left room 1 (OFFICE_LEFT1) occ=5 area=100.00 m^2
ROOM-EXIT	 t=   8.351 s	 person   89 left room 4 (OFFICE_RIGHT1) occ=4 area=100.00 m^2
ROOM-EXIT	 t=   8.462 s	 person   71 left room 6 (OFFICE_RIGHT3) occ=5 area=100.00 m^2
ROOM-EXIT	 t=   8.487 s	 person  126 left room 1 (OFFICE_LEFT1) occ=4 area=100.00 m^2
ROOM-EXIT	 t=   8.572 s	 person  141 left room 1 (OFFICE_LEFT1) occ=3 area=100.00 m^2
ROOM-EXIT	 t=   8.615 s	 person  150 left room 7 (HALLWAY) occ=159 area=93.00 m^2
ROOM-EXIT	 t=   8.633 s	 person  184 left room 5 (OFFICE_RIGHT2) occ=5 area=100.00 m^2
ROOM-EXIT	 t=   8.636 s	 person   50 left room 4 (OFFICE_RIGHT1) occ=3 area=100.00 m^2
ROOM-EXIT	 t=   8.650 s	 person  196 left room 5 (OFFICE_RIGHT2) occ=4 area=100.00 m^2
ROOM-EXIT	 t=   8.660 s	 person  148 left room 3 (OFFICE_LEFT3) occ=3 area=100.00 m^2
ROOM-EXIT	 t=   8.791 s	 person   29 left room 7 (HALLWAY) occ=158 area=93.00 m^2
ROOM-EXIT	 t=   8.968 s	 person   66 left room 7 (HALLWAY) occ=162 area=93.00 m^2
ROOM-EXIT	 t=   9.007 s	 person   27 left room 7 (HALLWAY) occ=165 area=93.00 m^2
ROOM-EXIT	 t=   9.022 s	 person  155 left room 6 (OFFICE_RIGHT3) occ=4 area=100.00 m^2
ROOM-EXIT	 t=   9.044 s	 person  165 left room 7 (HALLWAY) occ=164 area=93.00 m^2
ROOM-EXIT	 t=   9.049 s	 person  156 left room 7 (HALLWAY) occ=163 area=93.00 m^2
ROOM-EXIT	 t=   9.076 s	 person  199 left room 7 (HALLWAY) occ=162 area=93.00 m^2
ROOM-EXIT	 t=   9.097 s	 person  113 left room 5 (OFFICE_RIGHT2) occ=3 area=100.00 m^2
ROOM-EXIT	 t=   9.104 s	 person   32 left room 7 (HALLWAY) occ=161 area=93.00 m^2
ROOM-EXIT	 t=   9.104 s	 person   17 left room 7 (HALLWAY) occ=160 area=93.00 m^2
ROOM-EXIT	 t=   9.108 s	 person   59 left room 7 (HALLWAY) occ=159 area=93.00 m^2
ROOM-EXIT	 t=   9.139 s	 person   96 left room 7 (HALLWAY) occ=158 area=93.00 m^2
ROOM-EXIT	 t=   9.152 s	 person    8 left room 6 (OFFICE_RIGHT3) occ=3 area=100.00 m^2
ROOM-EXIT	 t=   9.157 s	 person  127 left room 4 (OFFICE_RIGHT1) occ=2 area=100.00 m^2
ROOM-EXIT	 t=   9.185 s	 person    1 left room 7 (HALLWAY) occ=157 area=93.00 m^2
ROOM-EXIT	 t=   9.203 s	 person   44 left room 6 (OFFICE_RIGHT3) occ=2 area=100.00 m^2
ROOM-EXIT	 t=   9.222 s	 person  121 left room 7 (HALLWAY) occ=160 area=93.00 m^2
