id,start_i,start_j,exit_time_s
589,5,37,155.54005430811037
590,35,6,142.164315658003
591,3,47,99.463949227877
592,26,15,194.19090615962944
593,44,40,130.50903857529815
594,11,63,122.86651014186184
595,5,37,111.89896139780367
596,2,59,93.00177754139916
597,7,21,109.33874264035286
598,47,62,52.95444086448466
599,45,40,146.35943871752866
600,42,43,189.7440502513698
601,22,5,255.242672065254
602,2,15,100.44956064946227
603,22,10,300.906466191416
604,11,52,252.0632298639317
605,41,15,89.97982503611752
606,46,5,187.58785978479784
607,21,4,141.070027009488
608,12,18,156.57760662560182
609,7,60,85.21198687425364
610,43,30,64.97714359452907
611,47,38,82.58406387131254
612,41,42,135.46021264736837
613,39,65,78.52809457420867
614,40,57,128.82350981514298
615,14,3,132.65750068442915
616,40,32,111.31238591354293
617,34,10,102.83155512764972
618,6,36,165.2859378931347
619,35,17,129.8933067361124
620,41,2,97.13721271556568
621,23,18,267.230464876923
622,17,67,207.05831699778994
623,47,58,81.60298550691226
624,5,5,117.55300204584073
625,16,19,189.7164199598337
626,42,26,43.37776359798307
627,38,17,103.50048446352072
628,6,34,61.511824587979234
629,9,47,74.05684095944805
630,3,64,96.97352339349177
631,3,12,36.15647192288919
632,11,2,105.23676347354342
633,43,11,72.26136025001398
634,47,26,50.77503325225747
635,3,53,77.95973849023895
636,4,44,147.76898980547156
637,12,2,157.88532403982984
638,42,4,107.74574456457034
639,18,2,169.2363044928452
640,18,18,181.13431295840232
641,17,7,211.48942558040125
642,2,5,89.02222471855497
643,7,51,45.794656738508316
644,8,57,74.50625685502676
645,4,16,48.87861067155811
646,6,14,186.5291219598877
647,38,31,96.84041202328181
648,40,51,56.8374384069646
649,47,14,61.0938482258701
650,3,4,117.34056287770477
651,3,60,267.0508421624519
652,45,43,85.54365693828245
653,3,67,110.62393151437658
654,37,5,148.08641937512024
655,21,21,200.3231338075723
656,27,67,118.28940932224796
657,38,34,160.72731679470482
658,38,8,108.16970877986701
659,38,47,96.28191806100767
660,40,34,97.87265310599243
661,37,10,116.2158127795685
662,25,67,128.21116443873942
663,14,19,132.40837497789911
664,9,31,98.71604005153222
665,37,67,90.74995431796505
666,45,17,52.374172038636814
667,17,9,102.87174742271102
668,41,4,93.48056059015826
669,2,51,75.46943774975061
670,8,28,168.18437846592354
671,39,28,71.61190643019134
672,3,19,129.54819051795053
673,45,35,84.43041939192278
674,14,9,247.55996617353335
675,41,3,152.33394333094165
676,33,13,87.35432525810155
677,42,65,151.50858230436083
678,7,57,121.58373267531285
679,7,12,161.5287538891802
680,29,17,512.6095587818592
681,30,7,178.08617727164778
682,46,37,253.2810981869139
683,44,48,44.60617007535941
684,44,19,136.98139473747455
685,6,28,138.80802108339572
686,26,8,244.58410811981352
687,11,30,111.12898763850525
688,13,5,138.4754352969416
689,31,21,111.53802212084166
690,44,11,40.5582348565693
691,5,28,100.03261806214626
692,33,67,90.76067131656153
693,46,20,78.22787861937432
694,8,36,202.11796728317117
695,44,47,74.91329007669742
696,7,40,184.6133344281634
697,44,10,32.354107479916316
698,31,12,127.16123509071132
699,2,3,158.2679494020844
700,27,18,188.42894874857728
701,44,30,57.588040759474914
702,43,54,133.1311822387954
703,33,18,113.35231832962243
704,7,10,84.91432406204855
705,46,34,144.50106438081923
706,2,63,203.80431689977055
707,15,16,637.5813413506617
708,44,30,61.187847101197264
709,10,13,70.87975928858334
710,18,16,136.6596861639553
711,2,60,59.83737489044232
712,3,45,149.75758854335126
713,19,21,211.83465283635738
714,13,2,172.4800718666886
715,6,37,159.22953247381002
716,12,20,100.63890120748793
717,44,19,96.39292149037757
718,28,3,214.98224433954454
719,40,65,220.60773732229254
720,24,4,187.09252066288255
721,2,8,87.72571285416959
722,5,54,190.2793254647147
723,10,23,300.8234582887818
724,14,15,105.74438022077717
725,10,40,205.64272688628688
726,38,34,125.91449749475738
727,18,6,251.00209053716085
728,27,12,199.3158949479848
729,11,45,96.9561307488186
730,4,53,137.90113115183087
731,10,54,108.37312699454486
732,20,15,170.51647084153032
733,33,11,134.9588327392123
734,46,41,125.63026305351052
735,6,7,51.1258427561264
736,8,9,110.01009948098556
737,9,46,88.91412127354498
738,11,10,82.04834314584366
739,8,59,93.97252746766596
740,14,21,147.5256976345065
741,42,54,59.332725073623315
742,47,13,85.20451074614378
743,44,58,166.27757064033685
744,8,53,56.25881839644047
745,32,14,140.95468296054352
746,3,15,37.47243940800873
747,35,10,97.23189359817145
748,42,49,110.68994281874126
749,39,2,132.03038524045056
750,41,31,115.46881045335753
751,42,19,208.6168939519374
752,8,46,75.44554431932964
753,39,23,116.07413035820107
754,2,29,67.12566555261479
755,24,10,121.66294195629868
756,3,21,46.655507672011986
757,39,35,115.41858610013047
758,35,7,111.6638604008956
759,26,16,282.85058058525885
760,38,34,138.46170945504593
761,43,65,150.05906756184987
762,40,47,79.55156643355171
763,2,63,41.765155342400604
764,11,34,90.5415380343093
765,6,8,168.60057645285164
766,40,50,69.09435660894756
767,45,36,121.98977236781363
768,4,14,52.12704670997235
769,47,33,79.16065563064285
770,11,15,127.59606609841491
771,43,33,176.90772745217384
772,45,11,74.41574089323527
773,12,13,199.07855408026975
774,13,20,130.68612308010213
775,27,13,115.22144906994139
776,12,4,132.4251982477937
777,20,16,262.1267644430785
778,9,53,60.80211982578363
779,8,12,52.60782820209821
780,25,4,158.15114872756627
781,10,28,195.15671363968912
782,47,57,55.85839459038444
783,29,67,101.238690036018
784,32,21,244.82601234485915
785,6,5,87.57220181114981
786,38,51,125.97233361195873
787,3,48,42.00636091449339
788,40,6,109.47993141029286
789,35,12,88.93063945467476
790,3,3,127.71685498083997
791,2,59,61.41733629997584
792,42,62,64.47817824962486
793,10,67,152.7374553064497
794,39,42,179.12397051097207
795,39,2,108.64095206003545
796,3,62,116.70282211750867
797,42,3,93.18403211771741
798,2,6,46.73149514406297
799,11,42,130.2793802137797
800,39,60,89.66529413740552
801,9,30,323.3580257283062
802,43,52,97.7829949513715
803,46,2,66.97318133736199
804,44,27,27.063534195166984
805,7,2,107.04609152394926
806,18,15,205.7086698145088
807,27,6,175.01601247971928
808,38,41,133.50896391724947
809,42,17,196.40514514280355
810,7,30,169.80858945910708
811,38,7,279.1123329362199
812,7,61,113.5497507490192
813,11,67,65.9476545485949
814,5,18,77.2348503729306
815,12,19,131.21594506478766
816,31,18,138.7384732186687
817,38,62,94.50910030997427
818,2,66,42.175057195039244
819,10,24,62.967607827465606
820,2,17,87.1168931988755
821,44,13,69.53519485584935
822,8,37,101.26315484746318
823,6,62,50.79570945129206
824,40,26,76.33368575312504
825,23,15,177.32045746761804
826,4,35,115.19740331532806
827,40,17,105.66290748719838
828,4,48,50.744795122512045
829,29,15,231.43022962047428
830,46,35,66.79452854674129
831,43,60,57.87963216211413
832,42,17,70.10228021056737
833,3,9,27.55533972923167
834,22,67,126.14784178172803
835,17,14,103.17068580992428
836,41,5,70.42517271222323
837,10,17,112.8986987150142
838,6,10,36.334548912246845
839,47,42,86.00675206639406
840,12,16,84.10175804920583
841,7,46,151.2317606498488
842,2,26,160.71267333812366
843,32,9,106.85182668720273
844,8,65,78.79784311512707
845,42,3,86.91319491469285
846,13,6,101.95503145562212
847,29,19,304.52509935111794
848,42,19,97.58968414171265
849,6,3,238.76712531310326
850,2,5,53.74952239566213
851,44,31,104.75621774887547
852,5,18,79.22307635617749
853,3,34,157.80510644739624
854,12,20,131.18460486451548
855,20,14,161.1531680654213
856,47,48,96.89598991783102
857,11,17,137.5672130084139
858,20,5,203.21815567495608
859,40,3,114.17773514162447
860,6,50,50.00792455746181
861,28,9,158.9724680195942
862,27,12,191.4438874591466
863,40,9,83.98690926313813
864,38,35,156.89953728189974
865,11,25,213.5763318029099
866,47,59,131.00380940040242
867,45,65,46.21613219379817
868,33,20,127.81371641033226
869,20,8,149.97150164881162
870,38,6,118.42870429909762
871,44,43,93.38248105675841
872,4,26,64.18172425859296
873,46,37,108.66788844373787
874,7,5,88.45127664235031
875,18,6,141.375696925621
876,8,23,143.68512785978245
877,41,3,217.81347320369312
878,44,41,163.61865067142514
879,42,46,113.97484086409031
880,42,40,99.83853611357395
881,15,9,122.15428388767566
882,12,7,107.82363301961844
883,42,7,179.45404733518157
884,40,67,48.39952501835111
885,6,53,67.362506931543
886,10,43,89.42777380573834
887,2,30,50.16844482374128
888,7,58,123.10465702366054
889,40,53,157.3553507910702
890,7,37,109.80451751788804
891,12,19,150.587457144034
892,32,9,90.4398897107047
893,25,7,336.2650116795971
894,20,6,232.90593162211715
895,45,28,37.36425750132307
896,7,48,100.1543348876299
897,44,51,203.05128513258703
898,9,5,98.01700131098285
899,6,4,84.31015565487019
900,33,19,486.9534150429665
901,41,23,84.7739271468643
902,38,32,104.61350158879121
903,39,67,64.4675388358159
904,10,5,225.2956231728922
905,5,39,110.02577729927243
906,42,7,76.11828749122837
907,8,18,92.32962855663705
908,5,11,43.5319814331194
909,28,10,105.54982742027093
910,38,38,153.00058842563138
911,43,31,154.95483399217989
912,47,49,27.384469827430237
913,9,63,86.31911286405662
914,4,62,75.59443776404267
915,4,60,123.72437188942668
916,14,10,90.73460161002146
917,6,4,100.98110297382286
918,38,33,112.60065338172814
919,42,54,63.41283541378242
920,2,6,106.92050140383307
921,10,21,99.22826991054927
922,4,24,53.65222097200407
923,4,49,44.12659395039292
924,40,9,119.46870774364115
925,22,67,138.13284961620707
926,38,16,102.97419015483499
927,46,7,55.27970970915043
928,8,44,92.83747988969783
929,10,8,69.34734406082174
930,8,2,82.00490810737395
931,20,10,208.4007643151792
932,39,2,167.99847039973264
933,41,33,59.42161287075756
934,8,38,249.48197351293592
935,23,7,170.29879950180376
936,7,59,123.36542031040837
937,27,4,158.8408986340621
938,8,55,63.20731670472024
939,11,55,111.21676611239317
940,46,46,371.75492555085606
941,28,19,202.53567099362428
942,45,42,67.75506396958924
943,39,10,88.12152643688772
944,7,55,77.94546631261673
945,10,46,76.04143893611693
946,38,15,187.3133245665958
947,42,39,126.78022980932982
948,46,7,71.62473675870355
949,47,65,140.07754005220286
950,4,38,63.76470770596448
951,31,8,281.2811544613626
952,43,2,177.07054000384275
953,42,19,133.31754467212207
954,20,8,284.4309619319712
955,3,42,72.85426539341482
956,10,67,202.08587654644379
957,6,12,108.88715990134703
958,38,9,111.83964832702856
959,27,3,278.5336000556922
960,34,20,125.6344297512814
961,34,12,138.83465312168317
962,42,19,133.9064592168784
963,9,20,141.4287931107631
964,43,55,179.52131311523203
965,42,24,72.54108920629707
966,42,43,123.21876856913258
967,7,14,241.9839725116998
968,43,27,234.9268052524977
969,28,67,221.18007997021735
970,45,5,140.99904076522762
971,24,3,200.03831386689657
972,22,9,131.18170094970287
973,38,21,102.02640854360216
974,3,35,109.75252541296881
975,44,56,82.93187734625695
976,39,63,198.53258188918167
977,18,4,174.75114047812264
978,29,8,152.06383793109492
979,46,49,140.68956699312585
980,4,30,84.23455121574605
981,46,26,39.896718673418405
982,11,48,78.12154534348221
983,5,47,77.36447469742194
984,2,9,111.97325631907876
985,2,33,102.80207414125285
986,14,21,123.07782436371325
987,39,52,215.80686995077625
988,42,33,160.65322754724554
